"annotator_id","kmeans_cluster","hc_cluster"
"Annotator_391","4","1"
"Annotator_392","2","2"
"Annotator_393","4","1"
"Annotator_394","1","3"
"Annotator_395","4","1"
"Annotator_396","4","1"
"Annotator_391","4","1"
"Annotator_392","2","2"
"Annotator_393","4","1"
"Annotator_394","1","3"
"Annotator_395","4","1"
"Annotator_396","4","1"
"Annotator_397","4","1"
"Annotator_398","4","1"
"Annotator_399","4","1"
"Annotator_400","4","1"
"Annotator_401","4","1"
"Annotator_402","4","4"
"Annotator_403","4","1"
"Annotator_404","4","1"
"Annotator_405","4","1"
"Annotator_406","4","1"
"Annotator_407","4","1"
"Annotator_408","4","1"
"Annotator_409","4","1"
"Annotator_410","4","1"
"Annotator_411","4","1"
"Annotator_412","4","1"
"Annotator_413","4","5"
"Annotator_414","4","1"
"Annotator_409","4","1"
"Annotator_410","4","1"
"Annotator_411","4","1"
"Annotator_412","4","1"
"Annotator_413","4","5"
"Annotator_414","4","1"
"Annotator_415","4","1"
"Annotator_416","4","6"
"Annotator_417","4","1"
"Annotator_418","2","2"
"Annotator_340","1","1"
"Annotator_419","4","5"
"Annotator_420","4","1"
"Annotator_296","4","1"
"Annotator_421","4","1"
"Annotator_422","4","1"
"Annotator_423","4","1"
"Annotator_424","4","1"
"Annotator_425","2","2"
"Annotator_426","4","1"
"Annotator_427","1","3"
"Annotator_428","4","1"
"Annotator_429","4","1"
"Annotator_430","4","4"
"Annotator_431","1","3"
"Annotator_432","4","1"
"Annotator_433","4","1"
"Annotator_434","4","1"
"Annotator_435","4","4"
"Annotator_436","4","1"
"Annotator_437","4","1"
"Annotator_438","4","6"
"Annotator_439","4","1"
"Annotator_440","4","1"
"Annotator_441","4","1"
"Annotator_442","4","5"
"Annotator_443","2","2"
"Annotator_444","2","2"
"Annotator_445","4","1"
"Annotator_446","4","1"
"Annotator_447","4","1"
"Annotator_448","1","1"
"Annotator_449","4","1"
"Annotator_450","4","1"
"Annotator_451","1","3"
"Annotator_452","4","1"
"Annotator_453","1","3"
"Annotator_454","4","1"
"Annotator_455","4","1"
"Annotator_456","4","1"
"Annotator_457","4","1"
"Annotator_458","4","1"
"Annotator_459","4","1"
"Annotator_460","4","1"
"Annotator_461","4","1"
"Annotator_462","4","1"
"Annotator_463","4","1"
"Annotator_464","2","2"
"Annotator_465","4","1"
"Annotator_466","4","1"
"Annotator_467","4","1"
"Annotator_468","4","1"
"Annotator_469","4","1"
"Annotator_470","4","4"
"Annotator_471","4","1"
"Annotator_472","4","4"
"Annotator_473","1","3"
"Annotator_474","4","1"
"Annotator_475","4","1"
"Annotator_476","4","1"
"Annotator_477","4","1"
"Annotator_27","4","1"
"Annotator_478","4","1"
"Annotator_479","2","2"
"Annotator_480","1","3"
"Annotator_481","4","1"
"Annotator_482","4","1"
"Annotator_483","4","1"
"Annotator_484","4","1"
"Annotator_485","4","1"
"Annotator_486","2","2"
"Annotator_487","4","1"
"Annotator_488","4","1"
"Annotator_489","4","5"
"Annotator_461","4","1"
"Annotator_462","4","1"
"Annotator_463","4","1"
"Annotator_464","2","2"
"Annotator_465","4","1"
"Annotator_466","4","1"
"Annotator_391","4","1"
"Annotator_392","2","2"
"Annotator_393","4","1"
"Annotator_394","1","3"
"Annotator_395","4","1"
"Annotator_396","4","1"
"Annotator_490","4","1"
"Annotator_491","2","2"
"Annotator_492","4","1"
"Annotator_493","4","1"
"Annotator_494","4","1"
"Annotator_495","4","1"
"Annotator_496","1","3"
"Annotator_497","4","1"
"Annotator_498","4","1"
"Annotator_499","1","3"
"Annotator_500","1","3"
"Annotator_501","4","5"
"Annotator_502","4","1"
"Annotator_503","2","2"
"Annotator_504","1","3"
"Annotator_505","4","1"
"Annotator_506","4","1"
"Annotator_507","4","1"
"Annotator_508","4","1"
"Annotator_509","4","1"
"Annotator_510","1","3"
"Annotator_511","4","1"
"Annotator_512","2","2"
"Annotator_513","2","2"
"Annotator_514","4","1"
"Annotator_515","4","1"
"Annotator_516","4","1"
"Annotator_517","4","1"
"Annotator_518","4","1"
"Annotator_519","4","1"
"Annotator_520","4","1"
"Annotator_521","4","1"
"Annotator_522","1","3"
"Annotator_523","4","1"
"Annotator_524","4","1"
"Annotator_117","1","3"
"Annotator_525","4","1"
"Annotator_526","4","1"
"Annotator_527","4","1"
"Annotator_528","4","1"
"Annotator_529","3","7"
"Annotator_530","4","1"
"Annotator_525","4","1"
"Annotator_526","4","1"
"Annotator_527","4","1"
"Annotator_528","4","1"
"Annotator_529","3","7"
"Annotator_530","4","1"
"Annotator_531","4","1"
"Annotator_532","4","1"
"Annotator_533","4","1"
"Annotator_534","4","1"
"Annotator_535","4","1"
"Annotator_536","4","1"
"Annotator_537","4","1"
"Annotator_538","4","1"
"Annotator_539","1","3"
"Annotator_540","2","2"
"Annotator_541","4","1"
"Annotator_542","4","1"
"Annotator_537","4","1"
"Annotator_538","4","1"
"Annotator_539","1","3"
"Annotator_540","2","2"
"Annotator_541","4","1"
"Annotator_542","4","1"
"Annotator_543","4","1"
"Annotator_544","4","8"
"Annotator_545","1","3"
"Annotator_546","2","2"
"Annotator_547","4","1"
"Annotator_548","4","1"
"Annotator_409","4","1"
"Annotator_410","4","1"
"Annotator_411","4","1"
"Annotator_412","4","1"
"Annotator_413","4","5"
"Annotator_414","4","1"
"Annotator_415","4","1"
"Annotator_416","4","6"
"Annotator_417","4","1"
"Annotator_418","2","2"
"Annotator_340","1","1"
"Annotator_419","4","5"
"Annotator_549","2","2"
"Annotator_550","2","4"
"Annotator_551","4","1"
"Annotator_552","4","1"
"Annotator_553","4","1"
"Annotator_554","2","2"
"Annotator_449","4","1"
"Annotator_450","4","1"
"Annotator_451","1","3"
"Annotator_452","4","1"
"Annotator_453","1","3"
"Annotator_454","4","1"
"Annotator_425","2","2"
